Date,"Iron Ore Fines, Odisha Index, India : 0-10mm, Fe 62% 1428","Coal - Richards Bay,South Africa - India - RB2 (5500 NAR)",Pellet_Exw_Raipur,"Mumbai: Scrap Price 80:20 INR/t, 1047","Pig Iron, DAP-Raipur, India : Steel Grade","Sponge Iron, CDRI, DAP Durgapur, India : Mix (70% Lumps, 30% Fines), FeM 78% (+/-1)","Rebar, Exw-Mumbai, India : 12-25mm, IF Route,Fe 500, IS 1786","Sponge Iron, PDRI, Exw-Raipur, India : Lumps,FeM 80%, +/-1","Ingot, Exw-Raipur, India, 3.5 x 4.5 Inch, IS 2830","Billet, DAP-Mumbai, India,100x100mm, IS 2831","Rebar, Exw-Raipur, India : 12-25mm, IF Route,Fe 500, IS 1786",WPI_MS_Bright_Bars,Rebar production IF,"Structure-Angle, Exw-Mumbai, India : 75x75 Angle, IF Route,IS 2062/2011 E-250 Gr A","Structure-Angle, Exw-Durgapur, India : 130x130 Angle, IF Route,IS 2062/2011 E-250 Gr A","Price : Structure-Angle, Exw-Raipur, India : 150x150 Angle, IF Route,IS 2062/2011 E-250 Gr A"
2025-11-16,5500.0,74.1,9600.0,29900.0,32350.0,25200.0,42933.3333333333,23275.0,34875.0,37833.3333333333,37900.0,128.4,0.739667,45650.0,42083.3333333333,43050.0
2025-11-23,5600.0,74.6,9600.0,29600.0,32441.6666666667,25375.0,42483.3333333333,23700.0,35316.6666666667,38266.6666666667,37933.3333333333,128.37,0.739667,45816.6666666667,42450.0,43483.3333333333
2025-11-30,5600.0,73.8,9550.0,29900.0,32391.6666666667,25416.6666666667,42683.3333333333,23733.3333333333,35725.0,38716.6666666667,38416.6666666667,128.33,0.739667,46033.3333333333,42783.3333333333,44033.3333333333
2025-12-07,5700.0,74.2,9550.0,30216.6666666667,32441.6666666667,25491.6666666667,42750.0,23900.0,36441.6666666667,39533.3333333333,38700.0,129.32,0.774742,46600.0,43116.6666666667,44683.3333333333
2025-12-14,5700.0,76.7,9300.0,30300.0,32666.6666666667,24933.3333333333,43750.0,22925.0,36000.0,39266.6666666667,39350.0,130.34,0.774742,46666.6666666667,43183.3333333333,44300.0
2025-12-21,5700.0,77.5,9300.0,30633.3333333333,32858.3333333333,25033.3333333333,44500.0,22708.3333333333,36325.0,39716.6666666667,39100.0,131.36,0.774742,46720.0,43370.0,44916.6666666667
2025-12-28,5750.0,78.25,9350.0,30980.0,33270.0,25430.0,45050.0,23200.0,37290.0,40660.0,39633.3333333333,132.38,0.774742,47920.0,44390.0,45860.0
2026-01-04,5800.0,79.0,9500.0,31600.0,36766.6666666667,27333.3333333333,48666.6666666667,24800.0,40450.0,43833.3333333333,44300.0,134.02,0.829452,50900.0,47016.6666666667,49333.3333333333
2026-01-11,5800.0,77.9,9600.0,31700.0,37516.6666666667,26866.6666666667,48533.3333333333,24016.6666666667,39450.0,42900.0,43400.0,134.64,0.870484,50283.3333333333,47000.0,48250.0
2026-01-18,5900.0,79.4,9625.0,31960.0,37058.3333333333,27016.6666666667,49140.0,24250.0,39866.6666666667,43540.0,43533.3333333333,135.26,0.870484,50620.0,47233.3333333333,48566.6666666667
2026-01-25,6000.0,80.8,9650.0,32316.6666666667,37800.0,28158.3333333333,50100.0,25033.3333333333,40433.3333333333,44066.6666666667,44116.6666666667,135.88,0.870484,51333.3333333333,48366.6666666667,49333.3333333333
2026-02-01,6000.0,80.5,9750.0,32500.0,37870.0,28310.0,50520.0,25510.0,40290.0,43590.0,43940.0,136.5,0.876486,51980.0,48290.0,49140.0
2026-02-08,6000.0,82.2,10175.0,32766.0,38033.0,28316.6666666667,50150.0,26433.0,40675.0,43458.3333333333,44483.3333333333,136.45,0.9125,51900.0,48416.0,49366.6666666667
2026-02-15,6000.0,86.2,10450.0,33416.0,38366.0,28033.3333333333,50000.0,27616.0,41300.0,43950.0,45266.6666666667,136.4,0.9125,51550.0,48816.0,49800.0
2026-02-22,5800.0,90.7,10450.0,33650.0,38100.0,27475.0,49566.6666666667,27190.0,40400.0,43233.3333333333,44566.6666666667,136.35,0.9125,50533.0,48300.0,49116.6666666667
2026-03-01,5800.0,92.5,10450.0,33350.0,37908.0,27241.6666666667,49200.0,26175.0,39600.0,42800.0,43783.3333333333,136.3,0.907272,50566.0,47830.0,48550.0
2026-03-08,5800.0,98.13,10700.0,33750.0,38420.0,27880.0,50475.0,27640.0,41350.0,44800.0,45840.0,136.3,0.875903,51900.0,48630.0,50320.0
2026-03-15,5750.0,101.0,11000.0,33950.0,37960.0,28333.3333333333,51383.3333333333,27266.0,41633.3333333333,45016.6666666667,46183.3333333333,136.3,0.875903,53183.0,49083.0,50283.3333333333
2026-03-22,5850.0,98.4,10825.0,33800.0,37470.0,28580.0,51000.0,26350.0,41330.0,44450.0,46140.0,136.3,0.875903,53000.0,48730.0,50040.0
2026-03-29,5850.0,97.2,10650.0,34500.0,37140.0,28600.0,50750.0,25691.0,40591.6666666667,44433.3333333333,45550.0,136.3,0.875903,52700.0,48350.0,49533.3333333333
2026-04-05,5800.0,96.6,10550.0,35460.0,38490.0,29720.0,52820.0,27080.0,42130.0,46880.0,48000.0,139.1,0.858591,53960.0,49350.0,51460.0
2026-04-12,5750.0,94.4,10800.0,36083.0,39466.0,30066.0,53980.0,27050.0,42733.0,47450.0,47900.0,139.1,0.851667,54666.0,49980.0,52483.0
2026-04-19,5750.0,91.2,10500.0,35600.0,39700.0,29683.0,52433.0,26233.0,41950.0,45690.0,46966.0,139.1,0.851667,54050.0,49460.0,52450.0
2026-04-26,5600.0,92.0,10250.0,35383.0,39675.0,29100.0,51212.0,26033.0,41733.0,45100.0,46792.0,139.1,0.851667,53350.0,49200.0,51967.0
2026-05-03,5550.0,92.4,10250.0,35300.0,39725.0,28758.0,49892.0,25783.0,41700.0,44900.0,46425.0,139.1,0.820538,52720.0,49050.0,51750.0
2026-05-10,5500.0,95.0,9950.0,34617.0,39542.0,28167.0,48762.0,25708.0,41008.0,44075.0,45508.0,139.1,0.779032,51617.0,48720.0,50950.0
2026-05-17,5500.0,96.2,9800.0,34500.0,39033.0,27342.0,48296.0,25483.0,39783.0,43008.0,43992.0,139.1,0.779032,50600.0,47833.0,49733.0
2026-05-24,5100.0,97.7,9600.0,35100.0,38900.0,26475.0,47446.0,25008.0,38825.0,42342.0,42658.0,139.1,0.779032,50100.0,47500.0,48960.0
2026-05-31,5100.0,97.5,9475.0,34967.0,38350.0,26325.0,46812.0,25050.0,38817.0,42417.0,42792.0,139.1,0.779032,50100.0,47108.0,48617.0
2026-06-07,5100.0,97.1,9250.0,33975.0,37833.0,26325.0,46129.0,24500.0,38458.0,41875.0,42175.0,139.1,0.828333,49817.0,47000.0,48133.0
2026-06-14,4950.0,97.6,9450.0,33442.0,37500.0,26217.0,45979.0,24175.0,38408.0,41583.0,41892.0,139.1,0.828333,49600.0,46833.0,47917.0
2026-06-21,4950.0,92.8,8975.0,33200.0,37250.0,26217.0,45896.0,24092.0,38475.0,41467.0,42175.0,139.1,0.828333,49450.0,46500.0,47767.0
